"month","B-S(ex.K,O) private sector excluding financial and insurance services Constant prices","B-S(ex.K,O) private sector excluding financial and insurance services Current prices","B-S(ex.K,O) private sector excluding financial and insurance services Calendar adjusted, constant prices","B-S(ex.K,O) private sector excluding financial and insurance services Seasonally adjusted, calender adjusted, constant prices","B-S(ex.K,O) private sector excluding financial and insurance services Trend","B-S(ex.K,O) private sector excluding financial and insurance services Monthly development, seasonally adjusted, calendar adjusted","B-S(ex.K,O) private sector excluding financial and insurance services Annual development, calendar adjusted"
"2010M01",65.9,..,68.0,72.9,73.1,..,..
"2010M02",67.3,..,67.5,72.0,73.5,-1.2,..
"2010M03",78.2,..,76.6,73.7,73.9,2.4,..
"2010M04",75.3,..,75.2,74.8,74.4,1.5,..
"2010M05",75.6,..,75.9,74.7,74.9,-0.1,..
"2010M06",80.8,..,79.1,75.5,75.5,1.1,..
"2010M07",65.9,..,65.9,77.2,76.0,2.3,..
"2010M08",70.3,..,70.4,76.1,76.5,-1.4,..
"2010M09",80.4,..,79.7,77.1,77.0,1.3,..
"2010M10",81.2,..,82.8,77.6,77.4,0.6,..
"2010M11",82.6,..,81.8,77.8,77.7,0.3,..
"2010M12",85.2,..,82.6,75.7,77.9,-2.7,..
"2011M01",71.8,..,72.8,78.0,78.1,3.0,7.1
"2011M02",73.1,..,73.4,78.2,78.2,0.3,8.7
"2011M03",83.2,..,81.4,78.3,78.4,0.1,6.3
"2011M04",77.9,..,79.2,78.8,78.5,0.6,5.3
"2011M05",82.2,..,79.6,78.5,78.6,-0.4,4.9
"2011M06",80.9,..,82.1,78.4,78.6,-0.1,3.8
"2011M07",67.4,..,67.4,78.9,78.7,0.6,2.3
"2011M08",73.7,..,72.7,78.5,78.8,-0.5,3.3
"2011M09",83.9,..,83.0,80.4,78.9,2.4,4.1
"2011M10",84.2,..,85.9,80.5,79.0,0.1,3.7
"2011M11",83.7,..,82.9,78.9,79.0,-2.0,1.3
"2011M12",86.3,..,83.7,76.6,79.0,-2.9,1.3
"2012M01",74.5,..,74.1,79.5,79.1,3.8,1.8
"2012M02",75.1,..,74.0,78.8,79.1,-0.9,0.8
"2012M03",83.0,..,82.5,79.2,79.2,0.5,1.4
"2012M04",77.7,..,79.1,78.7,79.4,-0.6,-0.1
"2012M05",82.3,..,81.1,80.1,79.5,1.8,1.9
"2012M06",82.5,..,83.8,79.9,79.6,-0.2,2.1
"2012M07",67.7,..,67.7,79.3,79.7,-0.8,0.4
"2012M08",75.1,..,74.1,80.0,79.6,0.9,1.9
"2012M09",79.7,..,81.7,79.1,79.4,-1.1,-1.6
"2012M10",85.7,..,84.5,79.3,79.2,0.3,-1.6
"2012M11",83.9,..,83.1,79.0,79.0,-0.4,0.2
"2012M12",82.3,..,86.2,78.8,78.9,-0.3,3.0
"2013M01",74.9,..,73.3,78.8,78.8,0.0,-1.1
"2013M02",74.0,..,74.2,79.0,78.8,0.3,0.3
"2013M03",79.8,..,82.2,78.9,78.8,-0.1,-0.4
"2013M04",80.4,..,78.8,78.4,78.8,-0.6,-0.4
"2013M05",81.2,..,80.0,79.2,78.8,1.0,-1.4
"2013M06",79.6,..,82.5,78.4,78.9,-1.0,-1.6
"2013M07",68.5,..,67.5,79.3,78.9,1.1,-0.3
"2013M08",73.2,..,73.4,79.3,79.1,0.0,-0.9
"2013M09",81.0,..,81.6,79.0,79.3,-0.4,-0.1
"2013M10",85.4,..,84.3,79.2,79.6,0.3,-0.2
"2013M11",83.5,..,84.1,80.1,80.0,1.1,1.2
"2013M12",83.7,..,85.8,78.2,80.4,-2.4,-0.5
"2014M01",75.5,..,75.2,81.0,80.7,3.6,2.6
"2014M02",76.1,..,76.3,81.3,80.8,0.4,2.8
"2014M03",83.1,..,84.1,80.4,80.7,-1.1,2.3
"2014M04",81.5,..,81.3,81.0,80.4,0.7,3.2
"2014M05",80.0,..,80.2,79.6,80.2,-1.7,0.3
"2014M06",82.5,..,83.8,79.4,80.0,-0.3,1.6
"2014M07",69.1,..,68.1,80.2,80.1,1.0,0.9
"2014M08",73.3,..,74.7,80.9,80.3,0.9,1.8
"2014M09",83.9,..,83.1,80.3,80.6,-0.7,1.8
"2014M10",87.5,..,86.3,81.3,81.0,1.2,2.4
"2014M11",83.3,..,85.4,81.2,81.4,-0.1,1.5
"2014M12",87.3,..,87.7,79.6,81.9,-2.0,2.2
"2015M01",75.1,65.9,76.1,82.2,82.4,3.3,1.2
"2015M02",77.8,68.6,78.0,83.2,83.1,1.2,2.2
"2015M03",88.4,78.2,87.9,83.9,83.8,0.8,4.5
"2015M04",85.3,76.4,85.1,84.9,84.5,1.2,4.7
"2015M05",82.9,74.5,84.8,84.3,85.1,-0.7,5.7
"2015M06",93.3,83.8,91.3,86.2,85.7,2.3,8.9
"2015M07",72.1,64.8,71.1,84.0,86.3,-2.6,4.4
"2015M08",78.3,70.5,79.9,86.7,86.7,3.2,7.0
"2015M09",91.6,82.3,90.7,87.7,86.9,1.2,9.1
"2015M10",91.7,81.7,91.9,86.5,86.9,-1.4,6.5
"2015M11",90.7,80.8,91.4,86.8,86.7,0.3,7.0
"2015M12",100.2,89.2,98.9,89.3,86.5,2.9,12.8
"2016M01",76.4,67.3,78.9,85.4,86.5,-4.4,3.7
"2016M02",81.8,72.3,80.6,86.1,86.7,0.8,3.3
"2016M03",90.1,79.9,91.2,86.8,87.3,0.8,3.8
"2016M04",91.6,82.0,89.8,89.8,88.0,3.5,5.5
"2016M05",90.6,81.2,89.3,88.9,88.8,-1.0,5.3
"2016M06",96.0,86.3,95.7,90.1,89.5,1.3,4.8
"2016M07",74.6,67.2,76.0,90.2,89.9,0.1,6.9
"2016M08",82.7,74.8,81.6,88.8,90.2,-1.6,2.1
"2016M09",95.1,85.9,94.2,91.1,90.5,2.6,3.9
"2016M10",94.4,85.0,96.3,90.6,90.8,-0.5,4.8
"2016M11",96.4,87.0,95.5,90.4,91.2,-0.2,4.5
"2016M12",105.8,95.6,102.6,92.3,91.6,2.1,3.7
"2017M01",85.5,77.1,85.0,92.2,91.9,-0.1,7.7
"2017M02",85.7,77.4,86.0,91.9,92.2,-0.3,6.7
"2017M03",99.7,90.2,97.6,92.6,92.3,0.8,7.0
"2017M04",88.3,81.2,91.5,92.0,92.4,-0.6,1.9
"2017M05",94.5,87.3,93.2,92.8,92.5,0.9,4.4
"2017M06",98.7,91.0,98.4,92.6,92.7,-0.2,2.8
"2017M07",76.8,71.0,78.3,93.2,93.0,0.6,3.0
"2017M08",86.6,79.8,85.4,93.1,93.4,-0.1,4.7
"2017M09",95.8,88.1,96.5,93.4,93.8,0.3,2.4
"2017M10",100.2,91.7,100.5,94.4,94.2,1.1,4.4
"2017M11",101.9,93.5,100.9,95.3,94.5,1.0,5.7
"2017M12",104.8,96.4,105.4,94.5,94.8,-0.8,2.7
"2018M01",89.4,81.9,87.5,94.9,95.1,0.4,2.9
"2018M02",89.0,81.5,89.3,95.4,95.4,0.5,3.8
